order_id,weight (lbs),volume (in3)
21263,252.0,91656.0
21264,150.0,12000.0
21265,290.4,1464.6
21266,341.0,1876.6
21267,210.0,41160.0
21268,314.6,1419.7
21269,772.2,4243.3
21270,440.0,1650.1
21271,198.0,1874.6
21272,176.0,1874.6
21273,308.0,6310.7
21274,503.8,1581.7
21275,330.0,1898.1
21276,149.6,2148.0
21277,308.0,6310.7
21278,48.4,244.1
21279,330.0,1898.1
21280,242.0,828.0
21281,330.0,2343.3
21282,237.6,1183.4
21283,176.0,4613.4
21284,376.2,1717.9
21285,33.0,468.7
21286,2965.6,11247.9
21287,110.0,1265.4
21288,778.8,5623.9
21289,242.0,1129.1
21290,176.0,1467.8
21291,778.8,8435.9
21292,451.0,2372.6
21293,6802.4,24380.6
21294,721.6,4008.5
21295,1760.0,23726.0
21296,134.2,1757.5
21297,275.0,1493.9
21298,5280.0,10123.1
21299,110.0,1757.5
21300,781.0,5293.7
21301,515.0,234240.0
21302,220.0,2847.1
21303,246.4,448.2
21304,286.0,956.9
21305,1364.0,8787.4
21306,1309.0,277695.0
21307,1108.0,162180.0
21308,75.0,59489.0
21309,1683.0,8032.3
21310,660.0,4349.8
21311,480.0,36864.0
21312,645.0,122496.0
21313,736.0,45792.0
21314,50.0,20400.0
21315,210.0,41160.0
21316,690.8,4443.5
21317,430.0,41160.0
21318,204.6,1411.2
21319,44.0,518.7
21320,717.2,5877.8
21321,1645.6,7504.5
21322,413.6,2516.0
21323,66.0,1196.1
21324,3520.0,29087.3
21325,721.6,5223.4
21326,792.0,3998.3
21327,228.8,1086.3
21328,22.0,147.9
21329,231.0,932.9
21330,389.4,2230.8
21331,264.0,474.5
21332,1760.0,15311.7
21333,290.4,3749.3
21334,55.0,1581.7
21335,902.0,7381.4
21336,451.0,2505.3
21337,220.0,2847.1
21338,173.8,2416.9
21339,1269.4,5377.3
21340,902.0,7381.4
21341,902.0,7381.4
21342,891.0,5603.1
21343,107.8,1239.0
21344,352.0,3972.6
21345,330.0,2323.8
21346,37.4,1473.7
21347,220.0,2847.1
21348,1115.4,8324.4
21349,455.4,2056.1
21350,1848.0,10149.5
21351,602.8,2988.5
21352,457.6,887.0
21353,281.0,111360.0
21354,308.0,2929.1
21355,550.0,2460.5
21356,231.0,642.6
21357,407.0,5362.8
21358,165.0,1790.9
21359,200.0,69120.0
21360,264.0,783.8
21361,410.0,120960.0
21362,105.0,15288.0
21363,95.0,22400.0
21364,480.0,36864.0
21365,448.0,57500.0
21366,210.0,41160.0
21367,575.0,88493.0
21368,95.0,22400.0
21369,105.0,7425.0
21370,400.0,65880.0
21371,125.0,27625.0
21372,35.2,143.5
21373,210.0,41160.0
21374,550.0,35280.0
21375,626.0,162511.0
21376,125.0,27625.0
21377,220.0,2847.1
21378,55.0,503.6
21379,396.0,522.9
21380,528.0,549.2
21381,151.8,536.5
21382,121.0,1406.0
21383,902.0,7381.4
21384,649.0,3796.2
21385,457.6,0.1
21386,451.0,2655.8
21387,149.6,2434.7
21388,902.0,7381.4
21389,220.0,2847.1
21390,270.6,1296.1
21391,976.8,15877.8
21392,1405.8,5990.8
21393,250.8,1226.6
21394,13.2,170.1
21395,646.8,2022.9
21396,270.6,1296.1
21397,264.0,2050.4
21398,620.4,7498.6
21399,385.0,2723.2
21400,451.0,2505.3
21401,3960.0,15402.1
21402,88.0,160.1
21403,272.8,2062.1
21404,1012.0,3161.0
21405,1999.8,6199.2
21406,1067.0,6092.6
21407,341.0,1051.9
21408,442.2,2072.7
21409,1408.0,6092.6
21410,286.0,956.9
21411,286.0,956.9
21412,5500.0,28603.0
21413,574.2,1753.1
21414,1100.0,6458.8
21415,5588.0,12258.4
21416,3740.0,17012.4
21417,506.0,2694.8
21418,220.0,2847.1
21419,118.0,7980.0
21420,110.0,1886.5
21421,352.0,1205.5
21422,330.0,2530.8
21423,220.0,10755.8
21424,224.4,1757.5
21425,402.6,2004.3
21426,180.0,10368.0
21427,90.0,27000.0
21428,1200.0,139750.0
21429,144.0,24804.0
21430,200.0,57600.0
21431,300.0,65800.0
21432,30.0,27000.0
21433,880.0,2224.3
21434,105.0,19776.0
21435,410.0,66318.0
21436,266.0,22297.0
21437,1859.0,23901.8
21438,283.8,2084.7
21439,330.0,8238.2
21440,151.8,2434.7
21441,418.0,2962.8
21442,48.4,212.4
21443,151.8,2434.7
21444,660.0,6590.6
21445,15.4,529.7
21446,321.2,1329.9
21447,2422.2,15070.4
21448,950.4,3016.8
21449,924.0,9607.6
21450,275.0,1685.8
21451,321.2,1329.9
21452,440.0,2952.6
21453,440.0,2952.6
21454,1100.0,4480.1
21455,682.0,3875.3
21456,275.0,1685.8
21457,275.0,1685.8
21458,440.0,781.1
21459,235.4,1435.3
21460,613.8,4774.9
21461,235.4,1435.3
21462,1744.6,6198.9
21463,990.0,6590.6
21464,341.0,1722.5
21465,253.0,1874.6
21466,400.4,5623.9
21467,330.0,949.0
21468,522.0,87168.0
21469,1760.0,3163.5
21470,858.0,8699.5
21471,1320.0,15796.6
21472,250.8,1226.6
21473,225.0,23520.0
21474,17.0,46660.0
21475,280.0,29160.0
21476,280.0,29160.0
21477,140.0,16038.0
21478,640.0,150176.0
21479,250.0,28000.0
21480,39.6,1533.1
21481,660.0,4592.9
21482,858.0,8699.5
21483,668.8,10779.2
21484,539.0,11533.5
21485,1038.4,5272.5
21486,1645.6,3752.2
21487,154.0,2372.2
21488,572.0,1704.4
21489,10245.4,61786.5
21490,4400.0,56942.5
21491,1650.0,12996.6
21492,774.4,5389.6
21493,1100.0,1687.2
21494,305.8,1111.6
21495,286.0,1599.3
21496,811.8,4320.5
21497,1016.4,12653.9
21498,873.4,4583.3
21499,352.0,10768.0
21500,1735.8,5767.0
21501,66.0,1201.1
21502,1038.4,5272.5
21503,290.4,4335.1
21504,321.2,1752.0
21505,176.0,44522.9
21506,770.0,7322.8
21507,899.8,6332.8
21508,528.0,1687.2
21509,94.6,1438.2
21510,1848.0,10149.5
21511,796.4,3317.6
21512,325.6,3721.3
21513,1980.0,9031.3
21514,114.0,20100.0
21515,596.2,3397.8
21516,396.0,66318.0
21517,10800.0,1555200.0
21518,220.0,1423.6
21519,347.6,2155.8
21520,220.0,2847.1
21521,290.4,1589.1
21522,899.8,6332.8
21523,1837.0,8742.5
21524,425.0,83089.0
21525,114.0,20100.0
21526,19.0,331080.0
21527,158.0,43649.0
21528,285.0,24300.0
21529,162.0,37672.0
21530,102.0,25076.0
21531,180.0,33120.0
21532,1672.0,10091.9
21533,1271.6,6643.3
21534,12526.8,56942.5
21535,363.0,1449.9
21536,50.6,1681.3
21537,242.0,1926.5
21538,330.0,3082.4
21539,235.4,1435.3
21540,235.4,1435.3
21541,4.4,197.2
21542,1335.4,7830.0
21543,484.0,7967.3
21544,1845.8,9780.4
21545,231.0,1052.5
21546,1040.6,6441.7
21547,1038.4,5272.5
21548,242.0,1132.6
21549,149.6,1476.3
21550,528.0,5061.6
21551,266.2,1882.4
21552,959.2,6267.3
21553,310.2,1482.1
21554,4840.0,12842.6
21555,385.0,2323.8
21556,697.4,7394.6
21557,277.2,2538.6
21558,277.2,2538.6
21559,275.0,1640.6
21560,693.0,19771.7
21561,761.2,4843.8
21562,1584.0,5884.6
21563,560.0,118408.0
21564,158.4,1324.7
21565,264.0,1647.6
21566,803.0,2594.6
21567,314.6,2331.3
21568,327.8,3058.3
21569,113.0,1980.0
21570,1019.0,303160.0
21571,240.0,93984.0
21572,113.0,1980.0
21573,839.0,160272.0
21574,213.4,1977.2
21575,181.0,49600.0
21576,11000.0,46116.4
21577,50.6,896.3
21578,96.8,1576.2
21579,508.2,1673.7
21580,1221.0,6384.1
21581,330.0,2587.4
21582,198.0,4452.3
21583,198.0,4452.3
21584,88.0,213.6
21585,1258.4,7597.5
21586,558.8,1529.0
21587,558.8,1529.0
21588,605.0,3708.7
21589,605.0,3139.2
21590,660.0,4045.9
21591,209.0,1366.9
21592,924.0,6854.2
21593,22.0,1051.1
21594,616.0,5858.3
21595,5073.2,12094.5
21596,657.8,3200.8
21597,154.0,1844.5
21598,308.0,2682.7
21599,2211.0,23355.7
21600,1848.0,10149.5
21601,426.8,2735.9
21602,470.8,5226.3
21603,356.4,1968.4
21604,440.0,2658.2
21605,1544.4,20288.5
21606,1936.0,3161.0
21607,356.4,1968.4
21608,352.0,1230.2
21609,77.0,732.3
21610,2068.0,14393.8
21611,712.8,5626.9
21612,385.0,427.2
21613,270.6,1503.2
21614,308.0,2710.9
21615,105.6,1647.6
21616,880.0,4163.3
21617,385.0,2223.9
21618,1038.4,5272.5
21619,187.0,3770.0
21620,297.0,1076.5
21621,78.0,24576.0
21622,297.0,949.0
21623,616.0,4232.6
21624,105.0,23625.0
21625,410.0,69552.0
21626,128.0,13520.0
21627,38.0,18492.0
21628,300.0,49680.0
21629,1200.0,172800.0
21630,163.0,43680.0
21631,528.0,7627.5
21632,150.0,20280.0
21633,202.0,61000.0
21634,677.6,2868.4
21635,239.8,1939.2
21636,686.4,4877.0
21637,367.4,2833.9
21638,4760.8,5473.8
21639,347.6,2512.8
21640,226.6,585.8
21641,297.0,1474.8
21642,2640.0,6846.9
21643,248.6,2861.6
21644,248.6,1362.0
21645,347.6,1796.5
21646,1430.0,19376.3
21647,396.0,404.2
21648,85.8,2489.5
21649,1716.0,5471.9
21650,451.0,2442.2
21651,770.0,7322.8
